"","incident_type","city"
"1533","Simple Assault","BURIEN"
"1586","Simple Assault","BURIEN"
"2269","Simple Assault","BURIEN"
"2839","Simple Assault","BURIEN"
"2841","Simple Assault","BURIEN"
"3156","Simple Assault","BURIEN"
"3314","Simple Assault","BURIEN"
"4243","Simple Assault","BURIEN"
"4864","Simple Assault","BURIEN"
"5352","Simple Assault","BURIEN"
"7761","Simple Assault","BURIEN"
"8025","Simple Assault","BURIEN"
"8134","Simple Assault","BURIEN"
"10013","Simple Assault","BURIEN"
"10245","Simple Assault","BURIEN"
"10445","Simple Assault","BURIEN"
"10537","Simple Assault","BURIEN"
"10695","Simple Assault","BURIEN"
"10732","Simple Assault","BURIEN"
"10916","Simple Assault","BURIEN"
"11134","Simple Assault","BURIEN"
"11277","Simple Assault","BURIEN"
"11993","Simple Assault","BURIEN"
"12012","Simple Assault","BURIEN"
"12032","Simple Assault","BURIEN"
"12266","Simple Assault","BURIEN"
"12267","Simple Assault","BURIEN"
"12269","Simple Assault","BURIEN"
"12286","Simple Assault","BURIEN"
"12299","Simple Assault","BURIEN"
"12310","Simple Assault","BURIEN"
"12317","Simple Assault","BURIEN"
"12342","Simple Assault","BURIEN"
"12398","Simple Assault","BURIEN"
"12406","Simple Assault","BURIEN"
"12487","Simple Assault","BURIEN"
"12538","Simple Assault","BURIEN"
"12559","Simple Assault","BURIEN"
"12608","Simple Assault","BURIEN"
"12657","Simple Assault","BURIEN"
"12678","Simple Assault","BURIEN"
"12725","Simple Assault","BURIEN"
"12743","Simple Assault","BURIEN"
"12747","Simple Assault","BURIEN"
"12762","Simple Assault","BURIEN"
"12786","Simple Assault","BURIEN"
"12791","Simple Assault","BURIEN"
"12830","Simple Assault","BURIEN"
"12926","Simple Assault","BURIEN"
"12944","Simple Assault","BURIEN"
"13033","Simple Assault","BURIEN"
"13062","Simple Assault","BURIEN"
"13090","Simple Assault","BURIEN"
"13103","Simple Assault","BURIEN"
"13117","Simple Assault","BURIEN"
"13177","Simple Assault","BURIEN"
"13258","Simple Assault","BURIEN"
"13344","Simple Assault","BURIEN"
"13380","Simple Assault","BURIEN"
"13440","Simple Assault","BURIEN"
"13486","Simple Assault","BURIEN"
"13507","Simple Assault","BURIEN"
"13526","Simple Assault","BURIEN"
"13533","Simple Assault","BURIEN"
"13622","Simple Assault","BURIEN"
"13635","Simple Assault","BURIEN"
"13636","Simple Assault","BURIEN"
"13685","Simple Assault","BURIEN"
"13984","Simple Assault","BURIEN"
"14016","Simple Assault","BURIEN"
"14020","Simple Assault","BURIEN"
"14033","Simple Assault","BURIEN"
"14064","Simple Assault","BURIEN"
"14099","Simple Assault","BURIEN"
"14553","Simple Assault","BURIEN"
"14562","Simple Assault","BURIEN"
"14760","Simple Assault","BURIEN"
"14802","Simple Assault","BURIEN"
"14806","Simple Assault","BURIEN"
"14834","Simple Assault","BURIEN"
"14869","Simple Assault","BURIEN"
"14870","Simple Assault","BURIEN"
"14885","Simple Assault","BURIEN"
"14925","Simple Assault","BURIEN"
"14978","Simple Assault","BURIEN"
"15426","Simple Assault","BURIEN"
