"","Offense","Seattle_neighborhoods"
"45366","Simple Assault","BALLARD NORTH"
"46250","Simple Assault","BALLARD NORTH"
"62086","Simple Assault","BALLARD NORTH"
"66968","Simple Assault","BALLARD NORTH"
"67418","Simple Assault","BALLARD NORTH"
"68867","Simple Assault","BALLARD NORTH"
"69146","Simple Assault","BALLARD NORTH"
"70498","Simple Assault","BALLARD NORTH"
"73380","Simple Assault","BALLARD NORTH"
"74311","Simple Assault","BALLARD NORTH"
"74976","Simple Assault","BALLARD NORTH"
"75148","Simple Assault","BALLARD NORTH"
"75628","Simple Assault","BALLARD NORTH"
"75847","Simple Assault","BALLARD NORTH"
"81030","Simple Assault","BALLARD NORTH"
"83868","Simple Assault","BALLARD NORTH"
"85273","Simple Assault","BALLARD NORTH"
"86262","Simple Assault","BALLARD NORTH"
"87600","Simple Assault","BALLARD NORTH"
"87611","Simple Assault","BALLARD NORTH"
"95489","Simple Assault","BALLARD NORTH"
"99254","Simple Assault","BALLARD NORTH"
"100062","Simple Assault","BALLARD NORTH"
"100700","Simple Assault","BALLARD NORTH"
"101121","Simple Assault","BALLARD NORTH"
"101348","Simple Assault","BALLARD NORTH"
"103066","Simple Assault","BALLARD NORTH"
"103316","Simple Assault","BALLARD NORTH"
"104652","Simple Assault","BALLARD NORTH"
"105959","Simple Assault","BALLARD NORTH"
"106193","Simple Assault","BALLARD NORTH"
"106821","Simple Assault","BALLARD NORTH"
"109433","Simple Assault","BALLARD NORTH"
"112834","Simple Assault","BALLARD NORTH"
"113798","Simple Assault","BALLARD NORTH"
"113799","Simple Assault","BALLARD NORTH"
"113845","Simple Assault","BALLARD NORTH"
"114113","Simple Assault","BALLARD NORTH"
"114486","Simple Assault","BALLARD NORTH"
"116513","Simple Assault","BALLARD NORTH"
"121077","Simple Assault","BALLARD NORTH"
"122728","Simple Assault","BALLARD NORTH"
"123349","Simple Assault","BALLARD NORTH"
"124311","Simple Assault","BALLARD NORTH"
"125585","Simple Assault","BALLARD NORTH"
"129122","Simple Assault","BALLARD NORTH"
"129929","Simple Assault","BALLARD NORTH"
"130446","Simple Assault","BALLARD NORTH"
"131754","Simple Assault","BALLARD NORTH"
"131950","Simple Assault","BALLARD NORTH"
"136891","Simple Assault","BALLARD NORTH"
"137135","Simple Assault","BALLARD NORTH"
"137795","Simple Assault","BALLARD NORTH"
"45108","Simple Assault","BALLARD SOUTH"
"45496","Simple Assault","BALLARD SOUTH"
"45623","Simple Assault","BALLARD SOUTH"
"45810","Simple Assault","BALLARD SOUTH"
"46049","Simple Assault","BALLARD SOUTH"
"46349","Simple Assault","BALLARD SOUTH"
"46364","Simple Assault","BALLARD SOUTH"
"61839","Simple Assault","BALLARD SOUTH"
"61909","Simple Assault","BALLARD SOUTH"
"62636","Simple Assault","BALLARD SOUTH"
"63451","Simple Assault","BALLARD SOUTH"
"65701","Simple Assault","BALLARD SOUTH"
"66884","Simple Assault","BALLARD SOUTH"
"67156","Simple Assault","BALLARD SOUTH"
"67720","Simple Assault","BALLARD SOUTH"
"67968","Simple Assault","BALLARD SOUTH"
"68040","Simple Assault","BALLARD SOUTH"
"68353","Simple Assault","BALLARD SOUTH"
"68552","Simple Assault","BALLARD SOUTH"
"68821","Simple Assault","BALLARD SOUTH"
"69043","Simple Assault","BALLARD SOUTH"
"70476","Simple Assault","BALLARD SOUTH"
"70626","Simple Assault","BALLARD SOUTH"
"75239","Simple Assault","BALLARD SOUTH"
"75513","Simple Assault","BALLARD SOUTH"
"75910","Simple Assault","BALLARD SOUTH"
"76139","Simple Assault","BALLARD SOUTH"
"76208","Simple Assault","BALLARD SOUTH"
"77097","Simple Assault","BALLARD SOUTH"
"79398","Simple Assault","BALLARD SOUTH"
"80286","Simple Assault","BALLARD SOUTH"
"80433","Simple Assault","BALLARD SOUTH"
"80468","Simple Assault","BALLARD SOUTH"
"80923","Simple Assault","BALLARD SOUTH"
"80926","Simple Assault","BALLARD SOUTH"
"80987","Simple Assault","BALLARD SOUTH"
"81100","Simple Assault","BALLARD SOUTH"
"81897","Simple Assault","BALLARD SOUTH"
"83418","Simple Assault","BALLARD SOUTH"
"85174","Simple Assault","BALLARD SOUTH"
"85191","Simple Assault","BALLARD SOUTH"
"86652","Simple Assault","BALLARD SOUTH"
"86863","Simple Assault","BALLARD SOUTH"
"90848","Simple Assault","BALLARD SOUTH"
"90906","Simple Assault","BALLARD SOUTH"
"92358","Simple Assault","BALLARD SOUTH"
"102044","Simple Assault","BALLARD SOUTH"
"102159","Simple Assault","BALLARD SOUTH"
"102192","Simple Assault","BALLARD SOUTH"
"102306","Simple Assault","BALLARD SOUTH"
"102901","Simple Assault","BALLARD SOUTH"
"102924","Simple Assault","BALLARD SOUTH"
"104124","Simple Assault","BALLARD SOUTH"
"104142","Simple Assault","BALLARD SOUTH"
"104502","Simple Assault","BALLARD SOUTH"
"104508","Simple Assault","BALLARD SOUTH"
"105202","Simple Assault","BALLARD SOUTH"
"105261","Simple Assault","BALLARD SOUTH"
"105867","Simple Assault","BALLARD SOUTH"
"108090","Simple Assault","BALLARD SOUTH"
"108477","Simple Assault","BALLARD SOUTH"
"109182","Simple Assault","BALLARD SOUTH"
"109419","Simple Assault","BALLARD SOUTH"
"109664","Simple Assault","BALLARD SOUTH"
"109682","Simple Assault","BALLARD SOUTH"
"109717","Simple Assault","BALLARD SOUTH"
"110421","Simple Assault","BALLARD SOUTH"
"110740","Simple Assault","BALLARD SOUTH"
"111594","Simple Assault","BALLARD SOUTH"
"111604","Simple Assault","BALLARD SOUTH"
"111859","Simple Assault","BALLARD SOUTH"
"111903","Simple Assault","BALLARD SOUTH"
"112099","Simple Assault","BALLARD SOUTH"
"112370","Simple Assault","BALLARD SOUTH"
"114538","Simple Assault","BALLARD SOUTH"
"116035","Simple Assault","BALLARD SOUTH"
"116392","Simple Assault","BALLARD SOUTH"
"116477","Simple Assault","BALLARD SOUTH"
"117715","Simple Assault","BALLARD SOUTH"
"117731","Simple Assault","BALLARD SOUTH"
"119117","Simple Assault","BALLARD SOUTH"
"119294","Simple Assault","BALLARD SOUTH"
"119935","Simple Assault","BALLARD SOUTH"
"120096","Simple Assault","BALLARD SOUTH"
"120537","Simple Assault","BALLARD SOUTH"
"121408","Simple Assault","BALLARD SOUTH"
"122715","Simple Assault","BALLARD SOUTH"
"123050","Simple Assault","BALLARD SOUTH"
"124322","Simple Assault","BALLARD SOUTH"
"126413","Simple Assault","BALLARD SOUTH"
"126484","Simple Assault","BALLARD SOUTH"
"126569","Simple Assault","BALLARD SOUTH"
"127178","Simple Assault","BALLARD SOUTH"
"127689","Simple Assault","BALLARD SOUTH"
"128269","Simple Assault","BALLARD SOUTH"
"128765","Simple Assault","BALLARD SOUTH"
"129004","Simple Assault","BALLARD SOUTH"
"129108","Simple Assault","BALLARD SOUTH"
"131243","Simple Assault","BALLARD SOUTH"
"131470","Simple Assault","BALLARD SOUTH"
"131921","Simple Assault","BALLARD SOUTH"
"131937","Simple Assault","BALLARD SOUTH"
"133232","Simple Assault","BALLARD SOUTH"
"133740","Simple Assault","BALLARD SOUTH"
"133989","Simple Assault","BALLARD SOUTH"
"135701","Simple Assault","BALLARD SOUTH"
"136014","Simple Assault","BALLARD SOUTH"
"136146","Simple Assault","BALLARD SOUTH"
"136154","Simple Assault","BALLARD SOUTH"
"137106","Simple Assault","BALLARD SOUTH"
"137157","Simple Assault","BALLARD SOUTH"
"137255","Simple Assault","BALLARD SOUTH"
"137274","Simple Assault","BALLARD SOUTH"
"137284","Simple Assault","BALLARD SOUTH"
"137433","Simple Assault","BALLARD SOUTH"
"137719","Simple Assault","BALLARD SOUTH"
"137753","Simple Assault","BALLARD SOUTH"
"137790","Simple Assault","BALLARD SOUTH"
"159805","Simple Assault","BALLARD SOUTH"
