"","Offense","Seattle_neighborhoods"
"4055","Shoplifting","BALLARD NORTH"
"4218","Shoplifting","BALLARD NORTH"
"8653","Shoplifting","BALLARD NORTH"
"12449","Shoplifting","BALLARD NORTH"
"15393","Shoplifting","BALLARD NORTH"
"15396","Shoplifting","BALLARD NORTH"
"15497","Shoplifting","BALLARD NORTH"
"18298","Shoplifting","BALLARD NORTH"
"18668","Shoplifting","BALLARD NORTH"
"18670","Shoplifting","BALLARD NORTH"
"19282","Shoplifting","BALLARD NORTH"
"19284","Shoplifting","BALLARD NORTH"
"19356","Shoplifting","BALLARD NORTH"
"20582","Shoplifting","BALLARD NORTH"
"21277","Shoplifting","BALLARD NORTH"
"21910","Shoplifting","BALLARD NORTH"
"22928","Shoplifting","BALLARD NORTH"
"23328","Shoplifting","BALLARD NORTH"
"26030","Shoplifting","BALLARD NORTH"
"26154","Shoplifting","BALLARD NORTH"
"27063","Shoplifting","BALLARD NORTH"
"27712","Shoplifting","BALLARD NORTH"
"28122","Shoplifting","BALLARD NORTH"
"29778","Shoplifting","BALLARD NORTH"
"29928","Shoplifting","BALLARD NORTH"
"29966","Shoplifting","BALLARD NORTH"
"30450","Shoplifting","BALLARD NORTH"
"30556","Shoplifting","BALLARD NORTH"
"31214","Shoplifting","BALLARD NORTH"
"32863","Shoplifting","BALLARD NORTH"
"32981","Shoplifting","BALLARD NORTH"
"33658","Shoplifting","BALLARD NORTH"
"33930","Shoplifting","BALLARD NORTH"
"34460","Shoplifting","BALLARD NORTH"
"35083","Shoplifting","BALLARD NORTH"
"35179","Shoplifting","BALLARD NORTH"
"35610","Shoplifting","BALLARD NORTH"
"39587","Shoplifting","BALLARD NORTH"
"64205","Shoplifting","BALLARD NORTH"
"64207","Shoplifting","BALLARD NORTH"
"65118","Shoplifting","BALLARD NORTH"
"65119","Shoplifting","BALLARD NORTH"
"65139","Shoplifting","BALLARD NORTH"
"65140","Shoplifting","BALLARD NORTH"
"65141","Shoplifting","BALLARD NORTH"
"65142","Shoplifting","BALLARD NORTH"
"65143","Shoplifting","BALLARD NORTH"
"65413","Shoplifting","BALLARD NORTH"
"65415","Shoplifting","BALLARD NORTH"
"66385","Shoplifting","BALLARD NORTH"
"66568","Shoplifting","BALLARD NORTH"
"66768","Shoplifting","BALLARD NORTH"
"66786","Shoplifting","BALLARD NORTH"
"78277","Shoplifting","BALLARD NORTH"
"97782","Shoplifting","BALLARD NORTH"
"97818","Shoplifting","BALLARD NORTH"
"175932","Shoplifting","BALLARD NORTH"
"3577","Shoplifting","BALLARD SOUTH"
"3946","Shoplifting","BALLARD SOUTH"
"4043","Shoplifting","BALLARD SOUTH"
"4052","Shoplifting","BALLARD SOUTH"
"4053","Shoplifting","BALLARD SOUTH"
"4111","Shoplifting","BALLARD SOUTH"
"4215","Shoplifting","BALLARD SOUTH"
"4243","Shoplifting","BALLARD SOUTH"
"4556","Shoplifting","BALLARD SOUTH"
"5014","Shoplifting","BALLARD SOUTH"
"5110","Shoplifting","BALLARD SOUTH"
"5251","Shoplifting","BALLARD SOUTH"
"5381","Shoplifting","BALLARD SOUTH"
"5565","Shoplifting","BALLARD SOUTH"
"5875","Shoplifting","BALLARD SOUTH"
"6328","Shoplifting","BALLARD SOUTH"
"6475","Shoplifting","BALLARD SOUTH"
"6966","Shoplifting","BALLARD SOUTH"
"7482","Shoplifting","BALLARD SOUTH"
"7895","Shoplifting","BALLARD SOUTH"
"8053","Shoplifting","BALLARD SOUTH"
"8247","Shoplifting","BALLARD SOUTH"
"9039","Shoplifting","BALLARD SOUTH"
"9376","Shoplifting","BALLARD SOUTH"
"9442","Shoplifting","BALLARD SOUTH"
"10013","Shoplifting","BALLARD SOUTH"
"10803","Shoplifting","BALLARD SOUTH"
"10882","Shoplifting","BALLARD SOUTH"
"11474","Shoplifting","BALLARD SOUTH"
"11605","Shoplifting","BALLARD SOUTH"
"12018","Shoplifting","BALLARD SOUTH"
"12345","Shoplifting","BALLARD SOUTH"
"12848","Shoplifting","BALLARD SOUTH"
"13082","Shoplifting","BALLARD SOUTH"
"13432","Shoplifting","BALLARD SOUTH"
"14312","Shoplifting","BALLARD SOUTH"
"14320","Shoplifting","BALLARD SOUTH"
"14451","Shoplifting","BALLARD SOUTH"
"14901","Shoplifting","BALLARD SOUTH"
"14903","Shoplifting","BALLARD SOUTH"
"14904","Shoplifting","BALLARD SOUTH"
"14927","Shoplifting","BALLARD SOUTH"
"14967","Shoplifting","BALLARD SOUTH"
"14968","Shoplifting","BALLARD SOUTH"
"15070","Shoplifting","BALLARD SOUTH"
"15115","Shoplifting","BALLARD SOUTH"
"15182","Shoplifting","BALLARD SOUTH"
"15243","Shoplifting","BALLARD SOUTH"
"15273","Shoplifting","BALLARD SOUTH"
"15525","Shoplifting","BALLARD SOUTH"
"16667","Shoplifting","BALLARD SOUTH"
"17515","Shoplifting","BALLARD SOUTH"
"17586","Shoplifting","BALLARD SOUTH"
"18060","Shoplifting","BALLARD SOUTH"
"18326","Shoplifting","BALLARD SOUTH"
"19099","Shoplifting","BALLARD SOUTH"
"19160","Shoplifting","BALLARD SOUTH"
"19545","Shoplifting","BALLARD SOUTH"
"20144","Shoplifting","BALLARD SOUTH"
"20536","Shoplifting","BALLARD SOUTH"
"20539","Shoplifting","BALLARD SOUTH"
"20540","Shoplifting","BALLARD SOUTH"
"21096","Shoplifting","BALLARD SOUTH"
"21616","Shoplifting","BALLARD SOUTH"
"21899","Shoplifting","BALLARD SOUTH"
"22531","Shoplifting","BALLARD SOUTH"
"22651","Shoplifting","BALLARD SOUTH"
"22700","Shoplifting","BALLARD SOUTH"
"22701","Shoplifting","BALLARD SOUTH"
"22868","Shoplifting","BALLARD SOUTH"
"23619","Shoplifting","BALLARD SOUTH"
"23696","Shoplifting","BALLARD SOUTH"
"23713","Shoplifting","BALLARD SOUTH"
"23846","Shoplifting","BALLARD SOUTH"
"24029","Shoplifting","BALLARD SOUTH"
"24170","Shoplifting","BALLARD SOUTH"
"24354","Shoplifting","BALLARD SOUTH"
"24471","Shoplifting","BALLARD SOUTH"
"24472","Shoplifting","BALLARD SOUTH"
"24478","Shoplifting","BALLARD SOUTH"
"24722","Shoplifting","BALLARD SOUTH"
"24824","Shoplifting","BALLARD SOUTH"
"24849","Shoplifting","BALLARD SOUTH"
"25091","Shoplifting","BALLARD SOUTH"
"25092","Shoplifting","BALLARD SOUTH"
"25173","Shoplifting","BALLARD SOUTH"
"25345","Shoplifting","BALLARD SOUTH"
"25404","Shoplifting","BALLARD SOUTH"
"26174","Shoplifting","BALLARD SOUTH"
"26293","Shoplifting","BALLARD SOUTH"
"26459","Shoplifting","BALLARD SOUTH"
"26646","Shoplifting","BALLARD SOUTH"
"26665","Shoplifting","BALLARD SOUTH"
"26668","Shoplifting","BALLARD SOUTH"
"26733","Shoplifting","BALLARD SOUTH"
"26771","Shoplifting","BALLARD SOUTH"
"27029","Shoplifting","BALLARD SOUTH"
"27245","Shoplifting","BALLARD SOUTH"
"27252","Shoplifting","BALLARD SOUTH"
"27625","Shoplifting","BALLARD SOUTH"
"27708","Shoplifting","BALLARD SOUTH"
"27767","Shoplifting","BALLARD SOUTH"
"27770","Shoplifting","BALLARD SOUTH"
"28233","Shoplifting","BALLARD SOUTH"
"28394","Shoplifting","BALLARD SOUTH"
"28457","Shoplifting","BALLARD SOUTH"
"28744","Shoplifting","BALLARD SOUTH"
"29283","Shoplifting","BALLARD SOUTH"
"29549","Shoplifting","BALLARD SOUTH"
"29622","Shoplifting","BALLARD SOUTH"
"30049","Shoplifting","BALLARD SOUTH"
"30504","Shoplifting","BALLARD SOUTH"
"30596","Shoplifting","BALLARD SOUTH"
"30725","Shoplifting","BALLARD SOUTH"
"30818","Shoplifting","BALLARD SOUTH"
"30936","Shoplifting","BALLARD SOUTH"
"32398","Shoplifting","BALLARD SOUTH"
"32420","Shoplifting","BALLARD SOUTH"
"32425","Shoplifting","BALLARD SOUTH"
"32509","Shoplifting","BALLARD SOUTH"
"33144","Shoplifting","BALLARD SOUTH"
"33351","Shoplifting","BALLARD SOUTH"
"33595","Shoplifting","BALLARD SOUTH"
"33823","Shoplifting","BALLARD SOUTH"
"34347","Shoplifting","BALLARD SOUTH"
"34357","Shoplifting","BALLARD SOUTH"
"34568","Shoplifting","BALLARD SOUTH"
"34811","Shoplifting","BALLARD SOUTH"
"34864","Shoplifting","BALLARD SOUTH"
"34977","Shoplifting","BALLARD SOUTH"
"35104","Shoplifting","BALLARD SOUTH"
