"","incident_type","city"
"2160","Robbery","SHORELINE"
"2223","Robbery","SHORELINE"
"2391","Robbery","SHORELINE"
"2845","Robbery","SHORELINE"
"2905","Robbery","SHORELINE"
"2968","Robbery","SHORELINE"
"3052","Robbery","SHORELINE"
"4192","Robbery","SHORELINE"
"4342","Robbery","SHORELINE"
"6075","Robbery","SHORELINE"
"7989","Robbery","SHORELINE"
"11288","Robbery","SHORELINE"
"11430","Robbery","SHORELINE"
"11442","Robbery","SHORELINE"
"11558","Robbery","SHORELINE"
"11561","Robbery","SHORELINE"
"11570","Robbery","SHORELINE"
"11586","Robbery","SHORELINE"
"12246","Robbery","SHORELINE"
"13048","Robbery","SHORELINE"
"14091","Robbery","SHORELINE"
"14948","Robbery","SHORELINE"
"15513","Robbery","SHORELINE"
"15836","Robbery","SHORELINE"
"16235","Robbery","SHORELINE"
"16778","Robbery","SHORELINE"
"16900","Robbery","SHORELINE"
"17216","Robbery","SHORELINE"
"17582","Robbery","SHORELINE"
"18120","Robbery","SHORELINE"
"18902","Robbery","SHORELINE"
"26480","Robbery","SHORELINE"
"26486","Robbery","SHORELINE"
"27017","Robbery","SHORELINE"
"35405","Robbery","SHORELINE"
"35597","Robbery","SHORELINE"
"1764","Robbery","BURIEN"
"1824","Robbery","BURIEN"
"1833","Robbery","BURIEN"
"1868","Robbery","BURIEN"
"2506","Robbery","BURIEN"
"2973","Robbery","BURIEN"
"3051","Robbery","BURIEN"
"3934","Robbery","BURIEN"
"4231","Robbery","BURIEN"
"4336","Robbery","BURIEN"
"4363","Robbery","BURIEN"
"7860","Robbery","BURIEN"
"7894","Robbery","BURIEN"
"8044","Robbery","BURIEN"
"9896","Robbery","BURIEN"
"9898","Robbery","BURIEN"
"9981","Robbery","BURIEN"
"10308","Robbery","BURIEN"
"11103","Robbery","BURIEN"
"11282","Robbery","BURIEN"
"11409","Robbery","BURIEN"
"11553","Robbery","BURIEN"
"11556","Robbery","BURIEN"
"12427","Robbery","BURIEN"
"12632","Robbery","BURIEN"
"12814","Robbery","BURIEN"
"12907","Robbery","BURIEN"
"13022","Robbery","BURIEN"
"13257","Robbery","BURIEN"
"13453","Robbery","BURIEN"
"13520","Robbery","BURIEN"
"13521","Robbery","BURIEN"
"13523","Robbery","BURIEN"
"14561","Robbery","BURIEN"
"14572","Robbery","BURIEN"
"14960","Robbery","BURIEN"
"15431","Robbery","BURIEN"
"16338","Robbery","BURIEN"
"17485","Robbery","BURIEN"
"17526","Robbery","BURIEN"
"17551","Robbery","BURIEN"
"17581","Robbery","BURIEN"
"21274","Robbery","BURIEN"
"21551","Robbery","BURIEN"
"26794","Robbery","BURIEN"
"29492","Robbery","BURIEN"
"31044","Robbery","BURIEN"
"31590","Robbery","BURIEN"
"33000","Robbery","BURIEN"
"33188","Robbery","BURIEN"
"34157","Robbery","BURIEN"
"34681","Robbery","BURIEN"
"35517","Robbery","BURIEN"
