"","incident_type","city"
"1838","Shoplifting","SHORELINE"
"2557","Shoplifting","SHORELINE"
"2667","Shoplifting","SHORELINE"
"3044","Shoplifting","SHORELINE"
"3197","Shoplifting","SHORELINE"
"3779","Shoplifting","SHORELINE"
"3979","Shoplifting","SHORELINE"
"5085","Shoplifting","SHORELINE"
"5331","Shoplifting","SHORELINE"
"5417","Shoplifting","SHORELINE"
"5461","Shoplifting","SHORELINE"
"6074","Shoplifting","SHORELINE"
"6153","Shoplifting","SHORELINE"
"6235","Shoplifting","SHORELINE"
"6416","Shoplifting","SHORELINE"
"7898","Shoplifting","SHORELINE"
"8880","Shoplifting","SHORELINE"
"9059","Shoplifting","SHORELINE"
"9078","Shoplifting","SHORELINE"
"10094","Shoplifting","SHORELINE"
"10178","Shoplifting","SHORELINE"
"10366","Shoplifting","SHORELINE"
"10397","Shoplifting","SHORELINE"
"10447","Shoplifting","SHORELINE"
"10539","Shoplifting","SHORELINE"
"10895","Shoplifting","SHORELINE"
"11276","Shoplifting","SHORELINE"
"11578","Shoplifting","SHORELINE"
"11667","Shoplifting","SHORELINE"
"12037","Shoplifting","SHORELINE"
"12060","Shoplifting","SHORELINE"
"12463","Shoplifting","SHORELINE"
"12514","Shoplifting","SHORELINE"
"12525","Shoplifting","SHORELINE"
"12526","Shoplifting","SHORELINE"
"12550","Shoplifting","SHORELINE"
"12563","Shoplifting","SHORELINE"
"12661","Shoplifting","SHORELINE"
"12688","Shoplifting","SHORELINE"
"12707","Shoplifting","SHORELINE"
"13134","Shoplifting","SHORELINE"
"13158","Shoplifting","SHORELINE"
"13204","Shoplifting","SHORELINE"
"13330","Shoplifting","SHORELINE"
"13331","Shoplifting","SHORELINE"
"13385","Shoplifting","SHORELINE"
"13462","Shoplifting","SHORELINE"
"13471","Shoplifting","SHORELINE"
"13483","Shoplifting","SHORELINE"
"13986","Shoplifting","SHORELINE"
"13989","Shoplifting","SHORELINE"
"14022","Shoplifting","SHORELINE"
"14028","Shoplifting","SHORELINE"
"14031","Shoplifting","SHORELINE"
"14554","Shoplifting","SHORELINE"
"14576","Shoplifting","SHORELINE"
"14577","Shoplifting","SHORELINE"
"14609","Shoplifting","SHORELINE"
"14772","Shoplifting","SHORELINE"
"14775","Shoplifting","SHORELINE"
"14852","Shoplifting","SHORELINE"
"14963","Shoplifting","SHORELINE"
"14989","Shoplifting","SHORELINE"
"15731","Shoplifting","SHORELINE"
"15885","Shoplifting","SHORELINE"
"15903","Shoplifting","SHORELINE"
"16043","Shoplifting","SHORELINE"
"16053","Shoplifting","SHORELINE"
"16065","Shoplifting","SHORELINE"
"16121","Shoplifting","SHORELINE"
"16130","Shoplifting","SHORELINE"
"16180","Shoplifting","SHORELINE"
"16273","Shoplifting","SHORELINE"
"16280","Shoplifting","SHORELINE"
"16296","Shoplifting","SHORELINE"
"16333","Shoplifting","SHORELINE"
"16341","Shoplifting","SHORELINE"
"16353","Shoplifting","SHORELINE"
"16456","Shoplifting","SHORELINE"
"16498","Shoplifting","SHORELINE"
"16502","Shoplifting","SHORELINE"
"16580","Shoplifting","SHORELINE"
"16783","Shoplifting","SHORELINE"
"16895","Shoplifting","SHORELINE"
"16958","Shoplifting","SHORELINE"
"16963","Shoplifting","SHORELINE"
"17021","Shoplifting","SHORELINE"
"17169","Shoplifting","SHORELINE"
"17498","Shoplifting","SHORELINE"
"17938","Shoplifting","SHORELINE"
"17968","Shoplifting","SHORELINE"
"18005","Shoplifting","SHORELINE"
"18036","Shoplifting","SHORELINE"
"18168","Shoplifting","SHORELINE"
"18316","Shoplifting","SHORELINE"
"18375","Shoplifting","SHORELINE"
"18717","Shoplifting","SHORELINE"
"19400","Shoplifting","SHORELINE"
"19433","Shoplifting","SHORELINE"
"19577","Shoplifting","SHORELINE"
"19672","Shoplifting","SHORELINE"
"19761","Shoplifting","SHORELINE"
"19860","Shoplifting","SHORELINE"
"19894","Shoplifting","SHORELINE"
"19945","Shoplifting","SHORELINE"
"20012","Shoplifting","SHORELINE"
"20051","Shoplifting","SHORELINE"
"20350","Shoplifting","SHORELINE"
"21136","Shoplifting","SHORELINE"
"21460","Shoplifting","SHORELINE"
"21670","Shoplifting","SHORELINE"
"21742","Shoplifting","SHORELINE"
"21778","Shoplifting","SHORELINE"
"21782","Shoplifting","SHORELINE"
"21787","Shoplifting","SHORELINE"
"23477","Shoplifting","SHORELINE"
"23858","Shoplifting","SHORELINE"
"26027","Shoplifting","SHORELINE"
"26182","Shoplifting","SHORELINE"
"26278","Shoplifting","SHORELINE"
"26504","Shoplifting","SHORELINE"
"26604","Shoplifting","SHORELINE"
"26669","Shoplifting","SHORELINE"
"26714","Shoplifting","SHORELINE"
"26741","Shoplifting","SHORELINE"
"27084","Shoplifting","SHORELINE"
"27131","Shoplifting","SHORELINE"
"27257","Shoplifting","SHORELINE"
"27295","Shoplifting","SHORELINE"
"29076","Shoplifting","SHORELINE"
"29120","Shoplifting","SHORELINE"
"29196","Shoplifting","SHORELINE"
"29230","Shoplifting","SHORELINE"
"29409","Shoplifting","SHORELINE"
